time,clk,rst,coin_in,button_in,beverage_out,change_out,credit,state,dut.credit
5,1,1,0,0,0,0,0,0,0
15,1,1,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0
35,1,0,0,1,0,0,0,0,0
45,1,0,50,0,0,0,0,0,0
55,1,0,200,0,0,0,0,0,0
65,1,0,100,0,0,0,0,0,0
75,1,0,20,0,0,0,0,0,0
85,1,0,200,0,0,0,0,0,0
95,1,0,0,0,0,0,0,0,0
105,1,0,50,0,0,0,0,0,0
115,1,0,10,0,0,0,0,0,0
125,1,0,0,2,0,0,0,0,0
135,1,0,0,0,0,0,0,0,0
145,1,0,0,0,0,0,0,0,0
155,1,0,0,1,0,0,0,0,0
165,1,0,0,2,0,0,0,0,0
175,1,0,100,0,0,0,0,0,0
185,1,0,50,0,0,0,0,0,0
195,1,0,0,0,0,0,0,0,0
205,1,0,0,0,0,0,0,0,0
215,1,0,0,0,0,0,0,0,0
225,1,0,10,0,0,0,0,0,0
235,1,0,0,0,0,0,0,0,0
245,1,0,20,0,0,0,0,0,0
255,1,0,0,2,0,0,0,0,0
265,1,0,0,1,0,0,0,0,0
275,1,0,20,0,0,0,0,0,0
285,1,0,0,0,0,0,0,0,0
295,1,0,0,0,0,0,0,0,0
305,1,0,0,0,0,0,0,0,0
315,1,0,0,0,0,0,0,0,0
325,1,0,0,0,0,0,0,0,0
335,1,0,0,0,0,0,0,0,0
345,1,0,0,0,0,0,0,0,0
355,1,0,0,0,0,0,0,0,0
365,1,0,0,0,0,0,0,0,0
375,1,0,0,0,0,0,0,0,0
385,1,0,0,0,0,0,0,0,0
395,1,0,10,0,0,0,0,0,0
405,1,0,0,2,0,0,0,0,0
415,1,0,50,0,0,0,0,0,0
425,1,0,0,2,0,0,0,0,0
435,1,0,0,2,0,0,0,0,0
445,1,0,50,0,0,0,0,0,0
455,1,0,0,0,0,0,0,0,0
465,1,0,50,0,0,0,0,0,0
475,1,0,0,2,0,0,0,0,0
485,1,0,0,2,0,0,0,0,0
495,1,0,50,0,0,0,0,0,0
505,1,0,0,2,0,0,0,0,0
515,1,0,0,1,0,0,0,0,0
525,1,0,100,0,0,0,0,0,0
535,1,0,10,0,0,0,0,0,0
545,1,0,50,0,0,0,0,0,0
555,1,0,20,0,0,0,0,0,0
565,1,0,0,1,0,0,0,0,0
575,1,0,20,0,0,0,0,0,0
585,1,0,20,0,0,0,0,0,0
595,1,0,0,2,0,0,0,0,0
605,1,0,0,0,0,0,0,0,0
615,1,0,200,0,0,0,0,0,0
625,1,0,50,0,0,0,0,0,0
635,1,0,0,2,0,0,0,0,0
645,1,0,0,1,0,0,0,0,0
655,1,0,10,0,0,0,0,0,0
665,1,0,200,0,0,0,0,0,0
675,1,0,0,0,0,0,0,0,0
685,1,0,0,0,0,0,0,0,0
695,1,0,0,0,0,0,0,0,0
705,1,0,0,0,0,0,0,0,0
715,1,0,0,0,0,0,0,0,0
725,1,0,0,0,0,0,0,0,0
735,1,0,0,0,0,0,0,0,0
745,1,0,200,0,0,0,0,0,0
755,1,0,100,0,0,0,0,0,0
765,1,0,0,0,0,0,0,0,0
775,1,0,0,0,0,0,0,0,0
785,1,0,0,0,0,0,0,0,0
795,1,0,0,1,0,0,0,0,0
805,1,0,0,0,0,0,0,0,0
815,1,0,0,0,0,0,0,0,0
825,1,0,10,0,0,0,0,0,0
835,1,0,10,0,0,0,0,0,0
845,1,0,0,1,0,0,0,0,0
855,1,0,0,2,0,0,0,0,0
865,1,0,10,0,0,0,0,0,0
875,1,0,0,1,0,0,0,0,0
885,1,0,0,1,0,0,0,0,0
895,1,0,0,0,0,0,0,0,0
905,1,0,0,0,0,0,0,0,0
915,1,0,0,0,0,0,0,0,0
925,1,0,0,0,0,0,0,0,0
935,1,0,0,0,0,0,0,0,0
945,1,0,0,0,0,0,0,0,0
955,1,0,0,0,0,0,0,0,0
965,1,0,200,0,0,0,0,0,0
975,1,0,100,0,0,0,0,0,0
985,1,0,0,0,0,0,0,0,0
995,1,0,0,0,0,0,0,0,0
1005,1,0,50,0,0,0,0,0,0
1015,1,0,0,1,0,0,0,0,0
1025,1,0,0,1,0,0,0,0,0
1035,1,0,0,1,0,0,0,0,0
1045,1,0,200,0,0,0,0,0,0
1055,1,0,0,0,0,0,0,0,0
1065,1,0,0,1,0,0,0,0,0
1075,1,0,0,0,0,0,0,0,0
1085,1,0,0,0,0,0,0,0,0
1095,1,0,0,1,0,0,0,0,0
1105,1,0,0,2,0,0,0,0,0
1115,1,0,0,0,0,0,0,0,0
1125,1,0,0,0,0,0,0,0,0
1135,1,0,0,0,0,0,0,0,0
1145,1,0,0,0,0,0,0,0,0
1155,1,0,0,0,0,0,0,0,0
1165,1,0,0,0,0,0,0,0,0
1175,1,0,0,0,0,0,0,0,0
1185,1,0,100,0,0,0,0,0,0
1195,1,0,0,0,0,0,0,0,0
1205,1,0,0,0,0,0,0,0,0
1215,1,0,0,2,0,0,0,0,0
1225,1,0,0,1,0,0,0,0,0
1235,1,0,0,1,0,0,0,0,0
1245,1,0,50,0,0,0,0,0,0
1255,1,0,50,0,0,0,0,0,0
1265,1,0,20,0,0,0,0,0,0
1275,1,0,200,0,0,0,0,0,0
1285,1,0,0,0,0,0,0,0,0
1295,1,0,0,0,0,0,0,0,0
1305,1,0,0,0,0,0,0,0,0
1315,1,0,0,0,0,0,0,0,0
1325,1,0,0,0,0,0,0,0,0
1335,1,0,0,0,0,0,0,0,0
1345,1,0,0,0,0,0,0,0,0
